phase,architecture,representation,Mean_User_time_seconds,Mean_Elapsed_time_seconds,Mean_System_time_seconds,Mean_Percent_of_CPU,mean_maxRSS_GB
fine-tune,arias2022,cgr_idelucs,1617.1668989547038,58.091567944250876,54.017630662020906,2950.7804878048782,2.9388116577361103
fine-tune,arias2022,cgr_varKoder,1526.0782229965157,51.89801393728223,45.40101045296167,3026.808362369338,2.9392943963771914
fine-tune,arias2022,varKodes,45.627560975609754,42.52843205574913,3.21602787456446,114.48780487804878,2.9546999914720913
fine-tune,fiannaca2018,cgr_idelucs,1661.377944250871,59.26738675958188,53.57536585365854,2900.630662020906,4.022941496314072
fine-tune,fiannaca2018,cgr_varKoder,1589.3952264808363,55.679094076655055,47.54038327526133,2938.7804878048782,4.024082649044875
fine-tune,fiannaca2018,varKodes,51.750034843205576,45.33310104529617,4.133867595818815,122.87108013937282,3.9830178848957765
fine-tune,ig_resnext101_32x8d,cgr_idelucs,2543.1873519163764,94.92271777003484,82.85763066202091,2793.0696864111496,4.255831568914008
fine-tune,ig_resnext101_32x8d,cgr_varKoder,2571.609268292683,93.36693379790941,77.96773519163763,2846.1672473867598,4.254686681235709
fine-tune,ig_resnext101_32x8d,varKodes,74.76372822299652,79.1891637630662,4.275923344947735,99,4.248326796687854
fine-tune,vit_large_patch32_224,cgr_idelucs,2950.6257142857144,143.29076655052265,98.73163763066202,2147.094076655052,5.002474502403977
fine-tune,vit_large_patch32_224,cgr_varKoder,2947.954355400697,141.71714285714285,94.60400696864112,2174.98606271777,5.004067610365174
fine-tune,vit_large_patch32_224,varKodes,2929.0042857142857,131.14933797909407,88.73,2306.177700348432,5.002098043621209
