architecture,representation,Mean_User_time_seconds,Mean_Elapsed_time_seconds,Mean_System_time_seconds,Mean_Percent_of_CPU,mean_maxRSS_GB
arias2022,cgr_idelucs,20.71088607594937,10.609556962025321,1.7637974683544309,216.67731256085688,0.6101067699963534
arias2022,cgr_varKoder,20.230569620253167,9.319620253164551,1.5981012658227853,236.35842259006816,0.6101846574228021
arias2022,varKodes,19.94392405063291,9.513924050632912,1.7046835443037978,231.51957156767284,0.6069777524923976
fiannaca2018,cgr_idelucs,22.07822784810126,10.690443037974685,1.8591139240506327,227.06548198636807,0.6549164977254747
fiannaca2018,cgr_varKoder,21.001582278481006,9.432468354430386,1.7578481012658222,241.95793573515093,0.6550568930710419
fiannaca2018,varKodes,20.71253164556962,9.67373417721519,1.8170886075949357,235.83763388510224,0.6171291206456437
ig_resnext101_32x8d,cgr_idelucs,39.73740506329115,11.609873417721518,3.2377848101265814,366.51071080817917,0.9815713182280336
ig_resnext101_32x8d,cgr_varKoder,34.83164556962025,10.319430379746835,2.968164556962026,360.7031158714703,0.9793686927119388
ig_resnext101_32x8d,varKodes,31.21291139240507,10.235253164556958,2.8572151898734175,328.78846153846155,0.9509656881984276
vit_large_patch32_224,cgr_idelucs,56.64462025316455,13.58740506329114,6.992911392405063,451.8379259980526,1.8010776857786541
vit_large_patch32_224,cgr_varKoder,53.311582278481005,12.744683544303797,6.10386075949367,446.59206426484906,1.7983467005476166
vit_large_patch32_224,varKodes,49.815886075949365,11.989177215189873,5.138101265822784,446.06708860759494,1.7985711158076418
