term,estimate,std.error,statistic,p.value
(Intercept),0.656129108277655,0.005940104943457674,110.4574943579581,0
bp_valid.L,0.3113762985062158,0.009101795627722517,34.21042519981625,1.1599686922476144e-251
bp_valid.Q,-0.18332093122733192,0.009101795627720273,-20.141182984708298,1.2586925870083504e-89
bp_valid.C,0.05211960317594426,0.00910179562772371,5.726298997220945,1.036234298775337e-8
bp_valid^4,0.01348897970521931,0.009101795627723761,1.4820130287404316,0.13834732224585805
bp_valid^5,-0.02864993507972439,0.009101795627720932,-3.1477234000362047,0.001647082717911045
bp_valid^6,0.011880537581070055,0.009101795627722833,1.3052960170720107,0.19180207145534067
bp_valid^7,0.009771425076344523,0.009101795627723007,1.0735711365108993,0.2830235671211079
bp_valid^8,-0.005580308916766861,0.00910179562772151,-0.6130997821760368,0.5398150078684092
pretrainedTRUE,0.06444943826279298,0.00700656554103273,9.198435079976926,3.860040094486629e-20
archig_resnext101_32x8d,0.47862244405440346,0.008027029238361759,59.62634865798568,0
archresnet101d,0.37793670003036084,0.008027029238362553,47.083010265383905,0
archresnet18d,0.3050104379040469,0.008027029238361153,37.99792287368317,1.2894784854656355e-308
archresnet50,0.47837822347661674,0.008027029238361821,59.59592388058194,0
archresnet50d,0.3870849531824627,0.008027029238361797,48.22269132053906,0
archwide_resnet50_2,0.5112029783978932,0.008027029238361917,63.685201986658626,0
augmentationMixUp,0.0640018768016506,0.008400576972959163,7.618747736931395,2.6367873451217075e-14
augmentationCutMix,-0.021310510045256453,0.008400576972959485,-2.536791236346336,0.01119238313714878
label_smoothingTRUE,0.03603511277802844,0.0035032827705161218,10.286098821740149,8.949754046300851e-25
transTRUE,0.010984781241502102,0.006554041928129697,1.6760315789796585,0.09374241807645316
pretrainedTRUE:archig_resnext101_32x8d,-0.36754303283918743,0.009268814983122894,-39.65372418247937,0
pretrainedTRUE:archresnet101d,-0.3554779403473974,0.009268814983122995,-38.352037557623596,3.216628721e-314
pretrainedTRUE:archresnet18d,-0.25424002710514704,0.00926881498312303,-27.429615066011767,1.269887268162558e-163
pretrainedTRUE:archresnet50,-0.34517936388774473,0.009268814983123137,-37.240937974946625,8.503206514546752e-297
pretrainedTRUE:archresnet50d,-0.3491439514001862,0.009268814983122962,-37.66867199700521,1.8954667828572927e-303
pretrainedTRUE:archwide_resnet50_2,-0.45324742611865637,0.009268814983122965,-48.900256067679386,0
bp_valid.L:pretrainedTRUE,0.23582355033006983,0.012871882818672492,18.32082793575267,1.4401847498818663e-74
bp_valid.Q:pretrainedTRUE,-0.04132750027220725,0.012871882818672355,-3.2106802753250903,0.001325605094079406
bp_valid.C:pretrainedTRUE,-0.05602969350034811,0.012871882818672305,-4.352874733995395,1.3480771303332624e-5
bp_valid^4:pretrainedTRUE,0.04519144500958846,0.01287188281867289,3.510865166052511,4.4730566564084724e-4
bp_valid^5:pretrainedTRUE,-0.012599259097179323,0.012871882818672372,-0.9788202141572038,0.327676705939034
bp_valid^6:pretrainedTRUE,-0.015016322824533577,0.012871882818671987,-1.166598782483543,0.243381700276994
bp_valid^7:pretrainedTRUE,0.005130312593122083,0.01287188281867256,0.3985673786339796,0.690214836169569
bp_valid^8:pretrainedTRUE,0.003371524250256792,0.012871882818672933,0.26192937721323895,0.7933776870118224
bp_valid.L:archig_resnext101_32x8d,-0.02926255318862945,0.011351933614457257,-2.5777593652734296,0.009949044003980907
bp_valid.Q:archig_resnext101_32x8d,-0.008489613015243026,0.011351933614457615,-0.7478561189285683,0.45455280489259997
bp_valid.C:archig_resnext101_32x8d,0.019768062036359595,0.011351933614457344,1.7413828082278269,0.08162674077106746
bp_valid^4:archig_resnext101_32x8d,-0.008721280576931669,0.011351933614457261,-0.7682638811263552,0.44233647016682454
bp_valid^5:archig_resnext101_32x8d,-0.002482981927135187,0.011351933614457604,-0.218727664507561,0.8268636841208044
bp_valid^6:archig_resnext101_32x8d,0.008710625377459221,0.011351933614457261,0.7673252569382365,0.4428941886401262
bp_valid^7:archig_resnext101_32x8d,-0.012601482549086683,0.011351933614457459,-1.1100736647224434,0.26697617398470364
bp_valid^8:archig_resnext101_32x8d,2.1088720478136536e-4,0.011351933614457247,0.018577205605993866,0.9851785104200951
bp_valid.L:archresnet101d,-0.16531089422025458,0.01135193361445739,-14.562355615762316,7.101207654088465e-48
bp_valid.Q:archresnet101d,0.07381119188815086,0.011351933614457426,6.502081001790524,8.045896988826592e-11
bp_valid.C:archresnet101d,9.416892109922315e-4,0.011351933614457535,0.08295408015713904,0.9338886053862129
bp_valid^4:archresnet101d,-0.029477936175963122,0.011351933614457748,-2.596732607599133,0.009416102687913014
bp_valid^5:archresnet101d,0.028773708435023797,0.011351933614457282,2.534696679196483,0.011259506834922392
bp_valid^6:archresnet101d,-0.013760034195017524,0.011351933614457244,-1.212131312809427,0.22547165664003385
bp_valid^7:archresnet101d,-0.005532252338010991,0.011351933614457167,-0.487340089001704,0.6260209002908178
bp_valid^8:archresnet101d,-0.004737125334124226,0.011351933614457736,-0.4172967791223743,0.6764643275435878
bp_valid.L:archresnet18d,-0.11934329434576033,0.011351933614457483,-10.513036668375886,8.341710382552487e-26
bp_valid.Q:archresnet18d,0.05105802255763665,0.011351933614457738,4.4977379441868415,6.893738403909187e-6
bp_valid.C:archresnet18d,0.01054484102343469,0.011351933614457821,0.9289026329404165,0.35294701539129925
bp_valid^4:archresnet18d,-0.03777035185396898,0.011351933614457596,-3.327217471203797,8.782318760270077e-4
bp_valid^5:archresnet18d,0.026691981337884432,0.011351933614457205,2.351315841372696,0.018713573970278476
bp_valid^6:archresnet18d,-0.005636925142686726,0.011351933614457315,-0.4965607916793832,0.6195024430844231
bp_valid^7:archresnet18d,-0.011048600830845521,0.011351933614457004,-0.97327919683875,0.3304223990857278
bp_valid^8:archresnet18d,0.001530400962152908,0.011351933614457205,0.13481412190464825,0.8927597437101231
bp_valid.L:archresnet50,-0.04649790059455983,0.011351933614457296,-4.096033519377022,4.213902039672951e-5
bp_valid.Q:archresnet50,-0.0067609570829319865,0.011351933614457717,-0.5955775740549869,0.5514619506470471
bp_valid.C:archresnet50,0.029394228118934097,0.011351933614457483,2.589358704626187,0.009620126604962836
bp_valid^4:archresnet50,-0.019199663840834283,0.011351933614457403,-1.6913122022121676,0.09078756797352684
bp_valid^5:archresnet50,0.002184319574919125,0.011351933614457476,0.19241828300838917,0.847415873468589
bp_valid^6:archresnet50,0.013346197083237026,0.01135193361445727,1.1756761038700896,0.23973365270289276
bp_valid^7:archresnet50,-0.01706430820477018,0.01135193361445727,-1.503207187807891,0.13279614129488962
bp_valid^8:archresnet50,0.002616642266878325,0.01135193361445717,0.23050190000634957,0.8177033575550444
bp_valid.L:archresnet50d,-0.15532328947029553,0.01135193361445748,-13.682540327092864,1.7317527499504423e-42
bp_valid.Q:archresnet50d,0.07842143953041035,0.011351933614457514,6.90820103374591,5.006180015296202e-12
bp_valid.C:archresnet50d,-0.004424990371908991,0.011351933614457556,-0.3898005857146158,0.6966867753109276
bp_valid^4:archresnet50d,-0.02616051212635981,0.01135193361445749,-2.3044983361286175,0.021201475139596877
bp_valid^5:archresnet50d,0.02929715976410513,0.011351933614457518,2.580807883407022,0.009861641925460815
bp_valid^6:archresnet50d,-0.014311044256556162,0.01135193361445748,-1.260670185591118,0.20743749572358808
bp_valid^7:archresnet50d,-0.0033718896769109347,0.011351933614457403,-0.2970321877690177,0.7664439898299125
bp_valid^8:archresnet50d,-0.005995655366013022,0.011351933614457436,-0.5281615951644713,0.597391085609717
bp_valid.L:archwide_resnet50_2,-0.036576881594041266,0.011351933614457228,-3.2220838172854416,0.0012739756525876225
bp_valid.Q:archwide_resnet50_2,0.0011713627980213597,0.011351933614457528,0.1031861916924481,0.9178158879321434
bp_valid.C:archwide_resnet50_2,0.01877344457022526,0.011351933614457552,1.6537662399924404,0.09818547086433736
bp_valid^4:archwide_resnet50_2,-0.013042357101152246,0.01135193361445756,-1.1489106212303604,0.2506019893064749
bp_valid^5:archwide_resnet50_2,-0.013982675906473941,0.011351933614457398,-1.2317439813659699,0.21805438096264504
bp_valid^6:archwide_resnet50_2,0.021894645946794175,0.011351933614457445,1.92871511501,0.05377565336286158
bp_valid^7:archwide_resnet50_2,-0.01897894476213676,0.011351933614457386,-1.671868899758708,0.09456059599830065
bp_valid^8:archwide_resnet50_2,-9.811782681725344e-4,0.011351933614457166,-0.0864326996171791,0.9311230299575632
archig_resnext101_32x8d:augmentationMixUp,-0.01765666850735,0.011351933614457308,-1.5553886330750972,0.1198640787314715
