,sample_number,species,collector,collection,country,dna_concentration,library_id,filename_root,insert_size,content_sd
90,91,S_bannisterioides,Milliken et al.,176,Venezuela,0.274,S-91,PREP0026_RAsprSUB09764A_B04v1_S-91,132.53205933392337,0.00874435879191161
44,45,S_ellipticum,Medina,244,Honduras,3.0,S-45,PREP0023_RAsprSUB09764A_E06v1_S-45,113.44591953556152,0.009408733476459034
11,12,S_ciliatum,Anderson,11656,Brazil,0.236,S-12,PREP0026_RAsprSUB09764A_A06v1_S-12,159.8477450723193,0.01124991210827327
58,59,S_emarginatum,Howard & Kellogg,19057,Anguilla,19.4,S-59,PREP0023_RAsprSUB09764A_G06v1_S-59,128.88422401325758,0.011254986416347373
19,20,S_ciliatum,Souza-Silva,11,Brazil,5.22,S-20,PREP0023_RAsprSUB09764A_G03v1_S-20,165.347580329477,0.012478922784527202
79,80,S_lindenianum,Gentry,7927,Belize,0.180,S-80,PREP0026_RAsprSUB09764A_A08v1_S-80,108.08291051876589,0.012657964148289073
88,89,S_bogotense,Devia,368,Colombia,5.94,S-89,PREP0023_RAsprSUB09764A_F03v1_S-89,111.6521172506693,0.013717801165702086
74,75,S_lindenianum,Túnortiz,2137,Guatemala,0.276,S-75,PREP0026_RAsprSUB09764A_A04v1_S-75,148.49909415620985,0.014330512037713303
56,57,S_emarginatum,Yntema,354A,St. Croix,0.260,S-57,PREP0026_RAsprSUB09764A_A05v1_S-57,112.84506659358244,0.01856689056157092
96,97,S_bannisterioides,Ventura A.,20404,Mexico,18.4,S-97,PREP0023_RAsprSUB09764A_E03v1_S-97,159.85350180007742,0.023623149286695764
15,16,S_ciliatum,Harley et al.,18016,Brazil,0.136,S-16,PREP0026_RAsprSUB09764A_H09v1_S-16,99.67355134671102,0.02537048665196468
8,9,S_paralias,Harley et al.,19324,Brazil,0.140,S-9,PREP0026_RAsprSUB09764A_E09v1_S-9,92.77675551276573,0.04291228661657713
55,56,S_emarginatum,Zanoni et al.,33306,Dominican Republic,0.100,S-56,PREP0026_RAsprSUB09764A_F11v1_S-56,151.22828059128022,0.06291932083414813
17,18,S_ciliatum,Eiten & Eiten,7858,Brazil,0.0,S-18,PREP0026_RAsprSUB09764A_H12v1_S-18,108.0619741223722,0.0847804041200671
92,93,S_bannisterioides,Steyermark et al.,114709,Venezuela,0.114,S-93,PREP0026_RAsprSUB09764A_B11v1_S-93,112.18543000278319,0.17518605209952381
